"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Sun May 23 00:51:08 IST 2021","Sun May 23 00:51:08 IST 2021","0","","The Internet Guinea Pig Website: As a user, I can log into the secure area","","The Internet Guinea Pig Website: As a user, I can log into the secure area","When I register with Jagdish Nayak jagdish 24 June 2000 WIPRO LA LA California 222456 United States 998877 and Brevery Hills","When I register with Jagdish Nayak jagdish 24 June 2000 WIPRO LA LA California 222456 United States 998877 and Brevery Hills",""
"unknown","Sun May 23 10:19:48 IST 2021","Thu Jan 01 05:30:00 IST 1970","-1621745388171","","The Internet Guinea Pig Website: As a user, I can log into the secure area","","The Internet Guinea Pig Website: As a user, I can log into the secure area","Then I should validate on the payment page if the product details are correct","Then I should validate on the payment page if the product details are correct",""
"skipped","Sun May 23 09:56:03 IST 2021","Sun May 23 09:56:03 IST 2021","0","","The Internet Guinea Pig Website: As a user, I can log into the secure area","","The Internet Guinea Pig Website: As a user, I can log into the secure area","I login with jagdishnayak4@gmail.com","I login with jagdishnayak4@gmail.com",""
"passed","Sun May 23 10:22:24 IST 2021","Sun May 23 10:22:41 IST 2021","16316","","The Internet Guinea Pig Website: As a user, I can log into the secure area","","The Internet Guinea Pig Website: As a user, I can log into the secure area","Given I am on the login page","Given I am on the login page",""
"broken","Sun May 23 03:27:25 IST 2021","Sun May 23 03:27:25 IST 2021","1","","The Internet Guinea Pig Website: As a user, I can log into the secure area","","The Internet Guinea Pig Website: As a user, I can log into the secure area","When I register with Jagdish, Nayak, jagdish, 24, June, 2000, WIPRO, LA, LA LA, California, 222456, United States, 998877 and Brevery Hills","When I register with Jagdish, Nayak, jagdish, 24, June, 2000, WIPRO, LA, LA LA, California, 222456, United States, 998877 and Brevery Hills",""
"passed","Sat May 22 22:22:33 IST 2021","Sat May 22 22:22:33 IST 2021","134","","The Internet Guinea Pig Website: As a user, I can log into the secure area","","The Internet Guinea Pig Website: As a user, I can log into the secure area","Then I should see a flash message saying Your username is invalid!","Then I should see a flash message saying Your username is invalid!",""
"skipped","Sun May 23 04:04:55 IST 2021","Sun May 23 04:04:55 IST 2021","0","","The Internet Guinea Pig Website: As a user, I can log into the secure area","","The Internet Guinea Pig Website: As a user, I can log into the secure area","I login with jagdishnayak1@gmail.com","I login with jagdishnayak1@gmail.com",""
"broken","Sun May 23 02:35:30 IST 2021","Sun May 23 02:35:30 IST 2021","0","","The Internet Guinea Pig Website: As a user, I can log into the secure area","","The Internet Guinea Pig Website: As a user, I can log into the secure area","When I register with Jagdish Nayak jagdish 24 June 2000 WIPRO LA LA LA California 222456 United States 998877 and Brevery Hills","When I register with Jagdish Nayak jagdish 24 June 2000 WIPRO LA LA LA California 222456 United States 998877 and Brevery Hills",""
"broken","Sun May 23 03:25:18 IST 2021","Sun May 23 03:25:18 IST 2021","0","","The Internet Guinea Pig Website: As a user, I can log into the secure area","","The Internet Guinea Pig Website: As a user, I can log into the secure area","When I register with Jagdish, Nayak, jagdish, 24, June, 2000, WIPRO, LA, LA, California, 222456, United States, 998877 and Brevery Hills","When I register with Jagdish, Nayak, jagdish, 24, June, 2000, WIPRO, LA, LA, California, 222456, United States, 998877 and Brevery Hills",""
"skipped","Sun May 23 09:56:03 IST 2021","Sun May 23 09:56:03 IST 2021","0","","The Internet Guinea Pig Website: As a user, I can log into the secure area","","The Internet Guinea Pig Website: As a user, I can log into the secure area","I should Sign Out","I should Sign Out",""
"broken","Sun May 23 01:54:55 IST 2021","Sun May 23 01:54:55 IST 2021","1","","The Internet Guinea Pig Website: As a user, I can log into the secure area","","The Internet Guinea Pig Website: As a user, I can log into the secure area","When I register with ""Jagdish"", ""Nayak"", ""jagdish"", ""24"", ""June"", ""2000"", ""WIPRO"", ""LA"", ""LA"", ""LA"", ""California"", ""222456"", ""United States"", ""998877"" and Brevery Hills","When I register with ""Jagdish"", ""Nayak"", ""jagdish"", ""24"", ""June"", ""2000"", ""WIPRO"", ""LA"", ""LA"", ""LA"", ""California"", ""222456"", ""United States"", ""998877"" and Brevery Hills",""
"passed","Sat May 22 22:22:31 IST 2021","Sat May 22 22:22:33 IST 2021","1620","","The Internet Guinea Pig Website: As a user, I can log into the secure area","","The Internet Guinea Pig Website: As a user, I can log into the secure area","When I login with foobar and barfoo","When I login with foobar and barfoo",""
"passed","Sun May 23 05:49:17 IST 2021","Sun May 23 05:49:23 IST 2021","5725","","The Internet Guinea Pig Website: As a user, I can log into the secure area","","The Internet Guinea Pig Website: As a user, I can log into the secure area","When I register with Jagdish, Nayak, jagdish, 12, June, 2005, WIPRO, LA, LA, LA, California, 900010, United States, 998877 and Brevery Hills","When I register with Jagdish, Nayak, jagdish, 12, June, 2005, WIPRO, LA, LA, LA, California, 900010, United States, 998877 and Brevery Hills",""
"broken","Sun May 23 03:12:13 IST 2021","Sun May 23 03:12:13 IST 2021","0","","The Internet Guinea Pig Website: As a user, I can log into the secure area","","The Internet Guinea Pig Website: As a user, I can log into the secure area","When I register with ""Jagdish"", ""Nayak"","" jagdish"","" 24"",""June"",""2000"",""WIPRO"",""LA"",""LA"",""LA"",""California"",""222456"",""United States"",""998877"" and ""Brevery Hills""","When I register with ""Jagdish"", ""Nayak"","" jagdish"","" 24"",""June"",""2000"",""WIPRO"",""LA"",""LA"",""LA"",""California"",""222456"",""United States"",""998877"" and ""Brevery Hills""",""
"passed","Sun May 23 05:42:51 IST 2021","Sun May 23 05:42:57 IST 2021","5969","","The Internet Guinea Pig Website: As a user, I can log into the secure area","","The Internet Guinea Pig Website: As a user, I can log into the secure area","When I register with Jagdish, Nayak, jagdish, 12, June, 2005, WIPRO, LA, LA, LA, California, 00000, United States, 998877 and Brevery Hills","When I register with Jagdish, Nayak, jagdish, 12, June, 2005, WIPRO, LA, LA, LA, California, 00000, United States, 998877 and Brevery Hills",""
"passed","Sun May 23 10:05:28 IST 2021","Sun May 23 10:05:47 IST 2021","18836","","The Internet Guinea Pig Website: As a user, I can log into the secure area","","The Internet Guinea Pig Website: As a user, I can log into the secure area","When I register with Jagdish, Nayak, jagdish, 12, June, 2005, WIPRO, LA, LA, Los Angels, California, 123456, United States, NA, 123456, 9988776600 and Home Sweet Home","When I register with Jagdish, Nayak, jagdish, 12, June, 2005, WIPRO, LA, LA, Los Angels, California, 123456, United States, NA, 123456, 9988776600 and Home Sweet Home",""
"skipped","Sun May 23 05:55:05 IST 2021","Sun May 23 05:55:05 IST 2021","0","","The Internet Guinea Pig Website: As a user, I can log into the secure area","","The Internet Guinea Pig Website: As a user, I can log into the secure area","I should Sign In again with jagdishnayak2@gmail.com and jagdish","I should Sign In again with jagdishnayak2@gmail.com and jagdish",""
"skipped","Sun May 23 10:19:48 IST 2021","Sun May 23 10:19:48 IST 2021","0","","The Internet Guinea Pig Website: As a user, I can log into the secure area","","The Internet Guinea Pig Website: As a user, I can log into the secure area","I should proceed to checkout and continue till payment","I should proceed to checkout and continue till payment",""
"passed","Sun May 23 05:54:49 IST 2021","Sun May 23 05:54:55 IST 2021","6206","","The Internet Guinea Pig Website: As a user, I can log into the secure area","","The Internet Guinea Pig Website: As a user, I can log into the secure area","When I register with Jagdish, Nayak, jagdish, 12, June, 2005, WIPRO, LA, LA, LA, California, 90001, United States, 998877 and NA","When I register with Jagdish, Nayak, jagdish, 12, June, 2005, WIPRO, LA, LA, LA, California, 90001, United States, 998877 and NA",""
"passed","Sun May 23 10:22:45 IST 2021","Sun May 23 10:22:56 IST 2021","10362","","The Internet Guinea Pig Website: As a user, I can log into the secure area","","The Internet Guinea Pig Website: As a user, I can log into the secure area","When I register with Jagdish, Nayak, jagdish, 12, June, 2005, WIPRO, LA, LA, Los Angels, California, 90001, United States, NA, 123456, 9988776600 and Home Sweet Home","When I register with Jagdish, Nayak, jagdish, 12, June, 2005, WIPRO, LA, LA, Los Angels, California, 90001, United States, NA, 123456, 9988776600 and Home Sweet Home",""
"skipped","Sun May 23 09:44:25 IST 2021","Sun May 23 09:44:25 IST 2021","0","","The Internet Guinea Pig Website: As a user, I can log into the secure area","","The Internet Guinea Pig Website: As a user, I can log into the secure area","I register with Jagdish, Nayak, jagdish, 12, June, 2005, WIPRO, LA, LA, Los Angels, California, 90001, United States, 9988776600 and NA","I register with Jagdish, Nayak, jagdish, 12, June, 2005, WIPRO, LA, LA, Los Angels, California, 90001, United States, 9988776600 and NA",""
"passed","Sun May 23 10:13:08 IST 2021","Sun May 23 10:13:28 IST 2021","20234","","The Internet Guinea Pig Website: As a user, I can log into the secure area","","The Internet Guinea Pig Website: As a user, I can log into the secure area","When I register with Jagdish, Nayak, jagdish, 12, June, 2005, WIPRO, LA, LA, Los Angels, California, 91605, United States, NA, 123456, 9988776600 and Home Sweet Home","When I register with Jagdish, Nayak, jagdish, 12, June, 2005, WIPRO, LA, LA, Los Angels, California, 91605, United States, NA, 123456, 9988776600 and Home Sweet Home",""
"skipped","Sun May 23 01:06:45 IST 2021","Sun May 23 01:06:45 IST 2021","1","","The Internet Guinea Pig Website: As a user, I can log into the secure area","","The Internet Guinea Pig Website: As a user, I can log into the secure area","I register with Jagdish","I register with Jagdish",""
"skipped","Sun May 23 10:19:48 IST 2021","Sun May 23 10:19:48 IST 2021","0","","The Internet Guinea Pig Website: As a user, I can log into the secure area","","The Internet Guinea Pig Website: As a user, I can log into the secure area","I should add a product to the cart","I should add a product to the cart",""
"broken","Sun May 23 02:51:36 IST 2021","Sun May 23 02:51:36 IST 2021","0","","The Internet Guinea Pig Website: As a user, I can log into the secure area","","The Internet Guinea Pig Website: As a user, I can log into the secure area","When I register with ""Jagdish"", ""Nayak"","" jagdish"","" 24"","" June"","" 2000"","" WIPRO"","" LA"","" LA"","" LA"","" California"","" 222456"","" United States"","" 998877"" and ""Brevery Hills""","When I register with ""Jagdish"", ""Nayak"","" jagdish"","" 24"","" June"","" 2000"","" WIPRO"","" LA"","" LA"","" LA"","" California"","" 222456"","" United States"","" 998877"" and ""Brevery Hills""",""
"unknown","Sun May 23 10:19:48 IST 2021","Thu Jan 01 05:30:00 IST 1970","-1621745388169","","The Internet Guinea Pig Website: As a user, I can log into the secure area","","The Internet Guinea Pig Website: As a user, I can log into the secure area","Then I should add a product to the cart","Then I should add a product to the cart",""
"passed","Sun May 23 10:11:04 IST 2021","Sun May 23 10:11:25 IST 2021","21368","","The Internet Guinea Pig Website: As a user, I can log into the secure area","","The Internet Guinea Pig Website: As a user, I can log into the secure area","When I register with Jagdish, Nayak, jagdish, 12, June, 2005, WIPRO, LA, LA, Los Angels, California, 90011, United States, NA, 123456, 9988776600 and Home Sweet Home","When I register with Jagdish, Nayak, jagdish, 12, June, 2005, WIPRO, LA, LA, Los Angels, California, 90011, United States, NA, 123456, 9988776600 and Home Sweet Home",""
"unknown","Sun May 23 10:19:48 IST 2021","Thu Jan 01 05:30:00 IST 1970","-1621745388170","","The Internet Guinea Pig Website: As a user, I can log into the secure area","","The Internet Guinea Pig Website: As a user, I can log into the secure area","Then I should proceed to checkout and continue till payment","Then I should proceed to checkout and continue till payment",""
"passed","Sun May 23 10:14:41 IST 2021","Sun May 23 10:15:04 IST 2021","22972","","The Internet Guinea Pig Website: As a user, I can log into the secure area","","The Internet Guinea Pig Website: As a user, I can log into the secure area","When I register with Jagdish, Nayak, jagdish, 12, June, 2005, WIPRO, LA, LA, Los Angels, California, 00000, United States, NA, 123456, 9988776600 and Home Sweet Home","When I register with Jagdish, Nayak, jagdish, 12, June, 2005, WIPRO, LA, LA, Los Angels, California, 00000, United States, NA, 123456, 9988776600 and Home Sweet Home",""
"passed","Sun May 23 01:32:25 IST 2021","Sun May 23 01:32:40 IST 2021","15202","","The Internet Guinea Pig Website: As a user, I can log into the secure area","","The Internet Guinea Pig Website: As a user, I can log into the secure area","When I register with Jagdish","When I register with Jagdish",""
"broken","Sun May 23 10:19:38 IST 2021","Sun May 23 10:19:48 IST 2021","10069","","The Internet Guinea Pig Website: As a user, I can log into the secure area","","The Internet Guinea Pig Website: As a user, I can log into the secure area","Then I should Sign Out","Then I should Sign Out",""
"unknown","Sun May 23 10:19:48 IST 2021","Thu Jan 01 05:30:00 IST 1970","-1621745388168","","The Internet Guinea Pig Website: As a user, I can log into the secure area","","The Internet Guinea Pig Website: As a user, I can log into the secure area","Then I should Sign In again with jagdishnayak4@gmail.com and jagdish","Then I should Sign In again with jagdishnayak4@gmail.com and jagdish",""
"skipped","Sun May 23 10:19:48 IST 2021","Sun May 23 10:19:48 IST 2021","0","","The Internet Guinea Pig Website: As a user, I can log into the secure area","","The Internet Guinea Pig Website: As a user, I can log into the secure area","I should validate on the payment page if the product details are correct","I should validate on the payment page if the product details are correct",""
"broken","Sat May 22 22:37:28 IST 2021","Sat May 22 22:37:28 IST 2021","2","","The Internet Guinea Pig Website: As a user, I can log into the secure area","","The Internet Guinea Pig Website: As a user, I can log into the secure area","When I login with jagdishnayak1@gmail.com and SuperSecretPassword!","When I login with jagdishnayak1@gmail.com and SuperSecretPassword!",""
"broken","Sun May 23 02:32:38 IST 2021","Sun May 23 02:32:38 IST 2021","1","","The Internet Guinea Pig Website: As a user, I can log into the secure area","","The Internet Guinea Pig Website: As a user, I can log into the secure area","When I register with Jagdish, Nayak jagdish 24 June 2000 WIPRO LA LA LA California 222456 United States 998877 and Brevery Hills","When I register with Jagdish, Nayak jagdish 24 June 2000 WIPRO LA LA LA California 222456 United States 998877 and Brevery Hills",""
"passed","Sun May 23 09:45:03 IST 2021","Sun May 23 09:45:23 IST 2021","20652","","The Internet Guinea Pig Website: As a user, I can log into the secure area","","The Internet Guinea Pig Website: As a user, I can log into the secure area","When I register with Jagdish, Nayak, jagdish, 12, June, 2005, WIPRO, LA, LA, Los Angels, California, 90001, United States, 9988776600 and NA","When I register with Jagdish, Nayak, jagdish, 12, June, 2005, WIPRO, LA, LA, Los Angels, California, 90001, United States, 9988776600 and NA",""
"passed","Sun May 23 10:22:56 IST 2021","Sun May 23 10:22:56 IST 2021","2","","The Internet Guinea Pig Website: As a user, I can log into the secure area","","The Internet Guinea Pig Website: As a user, I can log into the secure area","","",""
"passed","Sun May 23 05:50:49 IST 2021","Sun May 23 05:50:56 IST 2021","6658","","The Internet Guinea Pig Website: As a user, I can log into the secure area","","The Internet Guinea Pig Website: As a user, I can log into the secure area","When I register with Jagdish, Nayak, jagdish, 12, June, 2005, WIPRO, LA, LA, LA, California, 90001, United States, 998877 and Brevery Hills","When I register with Jagdish, Nayak, jagdish, 12, June, 2005, WIPRO, LA, LA, LA, California, 90001, United States, 998877 and Brevery Hills",""
"broken","Sun May 23 03:50:59 IST 2021","Sun May 23 03:51:02 IST 2021","2749","","The Internet Guinea Pig Website: As a user, I can log into the secure area","","The Internet Guinea Pig Website: As a user, I can log into the secure area","When I register with Jagdish, Nayak, jagdish, 24, June, 2000, WIPRO, LA, LA, LA, California, 222456, United States, 998877 and Brevery Hills","When I register with Jagdish, Nayak, jagdish, 24, June, 2000, WIPRO, LA, LA, LA, California, 222456, United States, 998877 and Brevery Hills",""
"passed","Sun May 23 10:22:41 IST 2021","Sun May 23 10:22:45 IST 2021","4654","","The Internet Guinea Pig Website: As a user, I can log into the secure area","","The Internet Guinea Pig Website: As a user, I can log into the secure area","When I login with jagdishnayak4@gmail.com","When I login with jagdishnayak4@gmail.com",""
"passed","Sun May 23 04:06:25 IST 2021","Sun May 23 04:06:28 IST 2021","3196","","The Internet Guinea Pig Website: As a user, I can log into the secure area","","The Internet Guinea Pig Website: As a user, I can log into the secure area","When I login with jagdishnayak1@gmail.com","When I login with jagdishnayak1@gmail.com",""
